ISSUANCEDATE,BONDS,SERIES,ACTUALTERMTOMATURITY,ORIGINALTERMTOMATURITY,REDEMTIONDATE,COUPON,OFFEREDQUANTITY,PURCHASEDQUANTITY,ADDITIONALPURCHASED,AVERAGEPRICE,CUTOFFPRICE,TOTALFUNDING,DEMANDEDAMOUNT,COVERRATIO,GROSSAVGYIELD,GROSSCUTOFFYIELD
12/04/2023 00:00,ממשלתית,1194802,5.2,6,28/02/2029,3.75,550,550,0,101.71,101.67,559.41,2301.2,4.2,3.89,3.9
12/04/2023 00:00,ממשלתית צמודה,1172220,8,11,30/11/2031,0.1,550,550,0,98.72,98.66,542.96,2076.3,3.8,1.68,1.69
12/04/2023 00:00,ממשלתית צמודה,1197326,4.9,5,31/10/2028,1.1,550,550,0,99.6,99.54,547.8,2177.1,4,1.45,1.46
12/04/2023 00:00,ממשלתית בריבית משתנה,1166552,7,10,29/11/2030,4.1,550,550,0,96.27,96.18,529.49,1670,3,4.82,4.84
11/28/2023 12:00:00 AM,ממשלתית,1166180,13.5,17,31/05/2037,1.5,140,140,0,70.36,70.36,98.5,140,1,4.56,4.56
11/28/2023 12:00:00 AM,ממשלתית,1174697,2.2,5,27/02/2026,0.5,38.1,17.6,-20.5,93.1,93.1,16.38,17.6,0.5,3.94,3.94
11/28/2023 12:00:00 AM,ממשלתית,1194802,5.3,6,28/02/2029,3.75,162.2,162.2,0,100.92,100.92,163.69,162.2,1,4.04,4.04
11/28/2023 12:00:00 AM,ממשלתית צמודה,1168301,28,31,30/11/2051,0.5,105,105,0,74.42,74.42,78.14,105,1,2.11,2.11
11/28/2023 12:00:00 AM,ממשלתית צמודה,1172220,8,11,30/11/2031,0.1,61.3,61.3,0,97.75,97.75,59.87,61.3,1,1.82,1.82
11/28/2023 12:00:00 AM,ממשלתית צמודה,1197326,4.9,5,31/10/2028,1.1,113.8,109.7,-4.1,98.65,98.65,108.17,109.7,1,1.65,1.65
11/27/2023 12:00:00 AM,ממשלתית,1166180,13.5,17,31/05/2037,1.5,500,500,0,70.36,70.32,351.8,2798.1,5.6,4.56,4.56
11/27/2023 12:00:00 AM,ממשלתית,1174697,2.3,5,27/02/2026,0.5,500,500,0,93.1,93.06,465.5,2152.5,4.3,3.93,3.95
11/27/2023 12:00:00 AM,ממשלתית,1180660,8.4,11,30/04/2032,1.3,500,500,0,80.28,80.19,401.4,2351.6,4.7,4.24,4.25
11/27/2023 12:00:00 AM,ממשלתית,1194802,5.3,6,28/02/2029,3.75,500,500,0,100.92,100.92,504.6,2412.5,4.8,4.04,4.04
11/27/2023 12:00:00 AM,ממשלתית צמודה,1168301,28,31,30/11/2051,0.5,300,300,0,74.42,74.16,223.26,1560.5,5.2,2.12,2.13
11/27/2023 12:00:00 AM,ממשלתית צמודה,1172220,8,11,30/11/2031,0.1,500,500,0,97.75,97.71,488.75,2363,4.7,1.82,1.82
11/27/2023 12:00:00 AM,ממשלתית צמודה,1197326,4.9,5,31/10/2028,1.1,500,500,0,98.65,98.62,493.25,1708.5,3.4,1.64,1.65
11/21/2023 12:00:00 AM,ממשלתית,1166180,13.5,17,31/05/2037,1.5,142,142,0,69.65,69.65,98.9,142,1,4.64,4.64
11/21/2023 12:00:00 AM,ממשלתית,1174697,2.3,5,27/02/2026,0.5,125,125,0,93.1,93.1,116.38,125,1,3.9,3.9
11/21/2023 12:00:00 AM,ממשלתית,1180660,8.4,11,30/04/2032,1.3,157.5,157.5,0,80.04,80.04,126.06,157.5,1,4.27,4.27
11/21/2023 12:00:00 AM,ממשלתית,1184076,29,31,29/11/2052,2.8,104,104,0,66.97,66.97,69.65,104,1,5.21,5.21
11/21/2023 12:00:00 AM,ממשלתית צמודה,1172220,8,11,30/11/2031,0.1,131.7,131.7,0,97.04,97.04,127.8,131.7,1,1.91,1.91
11/21/2023 12:00:00 AM,ממשלתית בריבית משתנה,1166552,7,10,29/11/2030,4.78,162.5,63,-99.5,96.26,96.26,60.64,63,0.4,5.73,5.73
11/20/2023 12:00:00 AM,ממשלתית,1166180,13.5,17,31/05/2037,1.5,500,500,0,69.65,69.58,348.25,2688,5.4,4.64,4.65
11/20/2023 12:00:00 AM,ממשלתית,1174697,2.3,5,27/02/2026,0.5,500,500,0,93.1,93.1,465.5,3244,6.5,3.9,3.9
11/20/2023 12:00:00 AM,ממשלתית,1180660,8.4,11,30/04/2032,1.3,450,450,0,80.04,80.03,360.18,2678,6,4.27,4.27
11/20/2023 12:00:00 AM,ממשלתית,1184076,29,31,29/11/2052,2.8,300,300,0,66.97,66.85,200.91,1757,5.9,5.22,5.23
11/20/2023 12:00:00 AM,ממשלתית צמודה,1172220,8,11,30/11/2031,0.1,450,450,0,97.04,97,436.68,2586,5.7,1.91,1.91
11/20/2023 12:00:00 AM,ממשלתית בריבית משתנה,1166552,7,10,29/11/2030,4.78,500,500,0,96.26,96.18,481.3,2065,4.1,5.73,5.74
11/20/2023 12:00:00 AM,ממשלתית קצרה,1199975,0.8,1,30/08/2024,0,1000,1000,0,96.81,96.76,968.1,6726,6.7,4.25,4.33
11/14/2023 12:00:00 AM,ממשלתית,1174697,2.3,5,27/02/2026,0.5,149.3,20.5,-128.9,92.83,92.83,18.99,20.5,0.1,4,4
11/14/2023 12:00:00 AM,ממשלתית,1180660,8.5,11,30/04/2032,1.3,175,175,0,79.18,79.18,138.57,175,1,4.4,4.4
11/14/2023 12:00:00 AM,ממשלתית,1184076,29,31,29/11/2052,2.8,105,105,0,68.8,68.8,72.24,105,1,5.05,5.05
11/14/2023 12:00:00 AM,ממשלתית,1194802,5.3,6,28/02/2029,3.75,150,62.5,-87.5,100.4,100.4,62.75,62.5,0.4,4.12,4.12
11/14/2023 12:00:00 AM,ממשלתית צמודה,1172220,8,11,30/11/2031,0.1,144.8,125.5,-19.3,96.84,96.84,121.5,125.5,0.9,1.87,1.87
11/14/2023 12:00:00 AM,ממשלתית צמודה,1197326,5,5,31/10/2028,1.1,134.2,91,-43.2,98.09,98.09,89.26,91,0.7,1.65,1.65
11/14/2023 12:00:00 AM,ממשלתית קצרה,1199975,0.8,1,30/08/2024,0,215.9,157.8,-58.1,96.63,96.63,152.47,157.8,0.7,4.41,4.41
11/13/2023 12:00:00 AM,ממשלתית,1174697,2.3,5,27/02/2026,0.5,450,450,0,92.83,92.83,417.74,2212,4.9,4,4
11/13/2023 12:00:00 AM,ממשלתית,1180660,8.5,11,30/04/2032,1.3,500,500,0,79.18,79.16,395.9,2540,5.1,4.4,4.4
11/13/2023 12:00:00 AM,ממשלתית,1184076,29,31,29/11/2052,2.8,300,300,0,68.8,68.75,206.4,1902,6.3,5.05,5.05
11/13/2023 12:00:00 AM,ממשלתית,1194802,5.3,6,28/02/2029,3.75,500,500,0,100.4,100.4,502,2729,5.5,4.12,4.12
11/13/2023 12:00:00 AM,ממשלתית צמודה,1172220,8,11,30/11/2031,0.1,500,500,0,96.84,96.75,484.2,2010,4,1.87,1.88
11/13/2023 12:00:00 AM,ממשלתית צמודה,1197326,5,5,31/10/2028,1.1,450,450,0,98.09,97.96,441.41,1813,4,1.65,1.68
11/13/2023 12:00:00 AM,ממשלתית קצרה,1199975,0.8,1,30/08/2024,0,1000,1000,0,96.63,96.6,966.3,5714,5.7,4.39,4.44
11/07/2023 00:00,ממשלתית,1166180,13.6,17,31/05/2037,1.5,100,76,-24,69.98,69.98,53.18,76,0.8,4.59,4.59
11/07/2023 00:00,ממשלתית,1174697,2.3,5,27/02/2026,0.5,148,85.9,-62.1,92.88,92.88,79.76,85.9,0.6,3.94,3.94
11/07/2023 00:00,ממשלתית,1194802,5.3,6,28/02/2029,3.75,124.7,121.7,-3,100.84,100.84,122.73,121.7,1,4.01,4.01
11/07/2023 00:00,ממשלתית צמודה,1168301,28.1,31,30/11/2051,0.5,93,91,-2,71.58,71.58,65.14,91,1,2.25,2.25
11/07/2023 00:00,ממשלתית צמודה,1197326,5,5,31/10/2028,1.1,145.5,145.5,0,98.63,98.63,143.46,145.5,1,1.53,1.53
11/06/2023 00:00,ממשלתית,1166180,13.6,17,31/05/2037,1.5,500,500,0,69.98,69.95,349.9,2245,4.5,4.58,4.59
11/06/2023 00:00,ממשלתית,1174697,2.3,5,27/02/2026,0.5,500,500,0,92.88,92.86,464.4,2394,4.8,3.94,3.95
11/06/2023 00:00,ממשלתית,1180660,8.5,11,30/04/2032,1.3,500,500,0,80.35,80.33,401.75,2199,4.4,4.19,4.2
11/06/2023 00:00,ממשלתית,1194802,5.3,6,28/02/2029,3.75,500,500,0,100.84,100.83,504.2,2911,5.8,4.01,4.01
11/06/2023 00:00,ממשלתית צמודה,1168301,28.1,31,30/11/2051,0.5,300,300,0,71.58,71.55,214.74,1415,4.7,2.25,2.25
11/06/2023 00:00,ממשלתית צמודה,1197326,5,5,31/10/2028,1.1,500,500,0,98.63,98.63,493.15,2094,4.2,1.53,1.53
11/06/2023 00:00,ממשלתית בריבית משתנה,1166552,7.1,10,29/11/2030,4.78,500,500,0,97.52,97.45,487.6,2333,4.7,5.46,5.47
10/31/2023 12:00:00 AM,ממשלתית,1174697,2.3,5,27/02/2026,0.5,109.9,106.8,-3.1,92.01,92.01,98.28,106.8,1,4.34,4.34
10/31/2023 12:00:00 AM,ממשלתית,1180660,8.5,11,30/04/2032,1.3,88,87.1,-0.9,77.39,77.39,67.39,87.1,1,4.68,4.68
10/31/2023 12:00:00 AM,ממשלתית,1184076,29.1,31,29/11/2052,2.8,89,88.9,0,64.22,64.22,57.11,88.9,1,5.46,5.46
10/31/2023 12:00:00 AM,ממשלתית,1194802,5.3,6,28/02/2029,3.75,111.5,110,-1.5,99.05,99.05,108.96,110,1,4.38,4.38
10/31/2023 12:00:00 AM,ממשלתית צמודה,1172220,8.1,11,30/11/2031,0.1,67.3,67.3,0,94.76,94.76,63.73,67.3,1,2.13,2.13
10/31/2023 12:00:00 AM,ממשלתית צמודה,1197326,5,5,31/10/2028,1.1,91.5,90,-1.5,97,97,87.3,90,1,1.87,1.87
10/30/2023 12:00:00 AM,ממשלתית,1174697,2.3,5,27/02/2026,0.5,400,400,0,92.01,91.98,368.04,1520,3.8,4.33,4.35
10/30/2023 12:00:00 AM,ממשלתית,1180660,8.5,11,30/04/2032,1.3,300,300,0,77.39,77.35,232.17,1534.7,5.1,4.68,4.68
10/30/2023 12:00:00 AM,ממשלתית,1184076,29.1,31,29/11/2052,2.8,300,300,0,64.22,64,192.66,1593.7,5.3,5.46,5.48
10/30/2023 12:00:00 AM,ממשלתית,1194802,5.3,6,28/02/2029,3.75,400,400,0,99.05,99,396.2,1625,4.1,4.38,4.39
10/30/2023 12:00:00 AM,ממשלתית צמודה,1172220,8.1,11,30/11/2031,0.1,250,250,0,94.76,94.7,236.9,1351.5,5.4,2.13,2.14
10/30/2023 12:00:00 AM,ממשלתית צמודה,1197326,5,5,31/10/2028,1.1,350,350,0,97,96.85,339.5,1130,3.2,1.93,1.97
10/24/2023 12:00:00 AM,ממשלתית,1174697,2.3,5,27/02/2026,0.5,83.8,83.8,0,92.38,92.38,77.41,83.8,1,4.12,4.12
10/24/2023 12:00:00 AM,ממשלתית,1194802,5.3,6,28/02/2029,3.75,88,88,0,99.89,99.89,87.9,88,1,4.18,4.18
10/24/2023 12:00:00 AM,ממשלתית צמודה,1168301,28.1,31,30/11/2051,0.5,65,47,-18,71.47,71.47,33.59,47,0.7,2.25,2.25
10/24/2023 12:00:00 AM,ממשלתית צמודה,1172220,8.1,11,30/11/2031,0.1,70,70,0,96.63,96.63,67.64,70,1,1.88,1.88
10/24/2023 12:00:00 AM,ממשלתית צמודה,1197326,5,5,31/10/2028,1.1,93.5,61,-32.5,98.13,98.13,59.86,61,0.7,1.69,1.69
10/24/2023 12:00:00 AM,ממשלתית קצרה,1199975,0.8,1,30/08/2024,0,122,0.1,-121.9,96.32,96.32,0.1,0.1,0,4.5,4.5
10/23/2023 12:00:00 AM,ממשלתית,1174697,2.3,5,27/02/2026,0.5,300,300,0,92.38,92.37,277.14,1438,4.8,4.11,4.12
10/23/2023 12:00:00 AM,ממשלתית,1194802,5.3,6,28/02/2029,3.75,350,350,0,99.89,99.89,349.62,1476,4.2,4.18,4.18
10/23/2023 12:00:00 AM,ממשלתית צמודה,1168301,28.1,31,30/11/2051,0.5,250,250,0,71.47,71.12,178.68,917,3.7,2.25,2.27
10/23/2023 12:00:00 AM,ממשלתית צמודה,1172220,8.1,11,30/11/2031,0.1,250,250,0,96.63,96.56,241.58,1403,5.6,1.88,1.89
10/23/2023 12:00:00 AM,ממשלתית צמודה,1197326,5,5,31/10/2028,1.1,350,350,0,98.13,98.02,343.46,926,2.6,1.69,1.72
10/23/2023 12:00:00 AM,ממשלתית קצרה,1199975,0.9,1,30/08/2024,0,500,500,0,96.32,96.21,481.6,1220,2.4,4.48,4.62
10/17/2023 12:00:00 AM,ממשלתית צמודה,1172220,8.1,11,30/11/2031,0.1,75,19.5,-55.5,98.95,98.95,19.3,19.5,0.3,1.58,1.58
10/17/2023 12:00:00 AM,ממשלתית צמודה,1197326,5,5,31/10/2028,1.1,77.3,33.5,-43.8,99.76,99.76,33.42,33.5,0.4,1.35,1.35
10/16/2023 12:00:00 AM,ממשלתית,1174697,2.4,5,27/02/2026,0.5,350,350,0,93,93,325.5,1757,5,3.78,3.78
10/16/2023 12:00:00 AM,ממשלתית,1180660,8.5,11,30/04/2032,1.3,300,300,0,80.98,80.97,242.94,1560,5.2,4.06,4.06
10/16/2023 12:00:00 AM,ממשלתית,1184076,29.1,31,29/11/2052,2.8,300,300,0,71.73,71.5,215.19,1453,4.8,4.77,4.79
10/16/2023 12:00:00 AM,ממשלתית צמודה,1172220,8.1,11,30/11/2031,0.1,250,250,0,98.95,98.93,247.38,1959,7.8,1.58,1.58
10/16/2023 12:00:00 AM,ממשלתית צמודה,1197326,5,5,31/10/2028,1.1,300,300,0,99.76,99.76,299.28,1337,4.5,1.35,1.35
10/16/2023 12:00:00 AM,ממשלתית קצרה,1199975,0.9,1,30/08/2024,0,500,500,0,96.88,96.81,484.4,2537,5.1,3.7,3.78
10/10/2023 00:00,ממשלתית,1174697,2.4,5,27/02/2026,0.5,105,105,0,91.18,91.18,95.74,105,1,4.63,4.63
10/10/2023 00:00,ממשלתית,1180660,8.6,11,30/04/2032,1.3,72.5,72.5,0,77.76,77.76,56.38,72.5,1,4.58,4.58
10/10/2023 00:00,ממשלתית,1194802,5.4,6,28/02/2029,3.75,95,95,0,97.93,97.93,93.03,95,1,4.57,4.57
10/10/2023 00:00,ממשלתית צמודה,1172220,8.1,11,30/11/2031,0.1,80,31,-49,97.37,97.37,30.18,31,0.4,1.79,1.79
10/09/2023 00:00,ממשלתית,1174697,2.4,5,27/02/2026,0.5,350,350,0,91.18,91.18,319.13,2374,6.8,4.62,4.62
10/09/2023 00:00,ממשלתית,1180660,8.6,11,30/04/2032,1.3,350,350,0,77.76,77.72,272.16,2565,7.3,4.58,4.59
10/09/2023 00:00,ממשלתית,1194802,5.4,6,28/02/2029,3.75,350,350,0,97.93,97.92,342.76,2304,6.6,4.57,4.57
10/09/2023 00:00,ממשלתית צמודה,1168301,28.1,31,30/11/2051,0.5,250,250,0,79.03,77.62,197.58,1230,4.9,1.85,1.92
10/09/2023 00:00,ממשלתית צמודה,1172220,8.1,11,30/11/2031,0.1,300,300,0,97.37,97,292.11,1051,3.5,1.79,1.84
10/09/2023 00:00,ממשלתית בריבית משתנה,1166552,7.1,10,29/11/2030,4.78,400,400,0,97.75,97.7,391,1861,4.7,5.35,5.36
9/27/2023 12:00:00 AM,ממשלתית צמודה,1197326,5.1,5,31/10/2028,1.1,64.9,34.2,-30.6,99.05,99.05,33.92,34.2,0.5,1.5,1.5
9/26/2023 12:00:00 AM,ממשלתית,1174697,2.4,5,27/02/2026,0.5,300,300,0,91.38,91.35,274.14,1138,3.8,4.46,4.47
9/26/2023 12:00:00 AM,ממשלתית,1180660,8.6,11,30/04/2032,1.3,350,350,0,80.41,80.36,281.44,1455,4.2,4.13,4.13
9/26/2023 12:00:00 AM,ממשלתית,1184076,29.2,31,29/11/2052,2.8,250,250,0,74.91,74.7,187.28,973,3.9,4.5,4.52
9/26/2023 12:00:00 AM,ממשלתית,1194802,5.4,6,28/02/2029,3.75,300,300,0,100.03,100.03,300.09,1043,3.5,4.09,4.09
9/26/2023 12:00:00 AM,ממשלתית צמודה,1197326,5.1,5,31/10/2028,1.1,250,250,0,99.05,99.02,247.62,857,3.4,1.5,1.5
9/26/2023 12:00:00 AM,ממשלתית בריבית משתנה,1166552,7.2,10,29/11/2030,4.78,350,350,0,97.82,97.79,342.37,1213,3.5,5.3,5.31
9/19/2023 12:00:00 AM,ממשלתית,1194802,5.4,6,28/02/2029,3.75,88.3,83.4,-4.9,100.34,100.34,83.66,83.4,0.9,4.01,4.01
9/19/2023 12:00:00 AM,ממשלתית צמודה,1172220,8.2,11,30/11/2031,0.1,93.4,59.7,-33.7,100.47,100.47,59.98,59.7,0.6,1.39,1.39
9/19/2023 12:00:00 AM,ממשלתית צמודה,1197326,5.1,5,31/10/2028,1.1,74,12,-62,99.72,99.72,11.97,12,0.2,1.35,1.35
9/18/2023 12:00:00 AM,ממשלתית,1174697,2.4,5,27/02/2026,0.5,300,300,0,91.51,91.5,274.53,1148,3.8,4.36,4.36
9/18/2023 12:00:00 AM,ממשלתית,1180660,8.6,11,30/04/2032,1.3,350,350,0,81.33,81.3,284.66,1757.2,5,3.97,3.97
9/18/2023 12:00:00 AM,ממשלתית,1194802,5.4,6,28/02/2029,3.75,300,300,0,100.34,100.33,301.02,1477.6,4.9,4,4.01
9/18/2023 12:00:00 AM,ממשלתית צמודה,1168301,28.2,31,30/11/2051,0.5,250,250,0,85.18,85.03,212.95,771.1,3.1,1.55,1.56
9/18/2023 12:00:00 AM,ממשלתית צמודה,1172220,8.2,11,30/11/2031,0.1,350,350,0,100.47,100.39,351.65,831.5,2.4,1.39,1.4
9/18/2023 12:00:00 AM,ממשלתית צמודה,1197326,5.1,5,31/10/2028,1.1,250,250,0,99.72,99.63,249.3,1064.5,4.3,1.35,1.37
09/12/2023 00:00,ממשלתית,1174697,2.5,5,27/02/2026,0.5,76.2,76.2,0,91.61,91.61,69.8,76.2,1,4.28,4.28
09/12/2023 00:00,ממשלתית,1184076,29.2,31,29/11/2052,2.8,75,75,0,76.56,76.56,57.42,75,1,4.37,4.37
09/12/2023 00:00,ממשלתית,1194802,5.5,6,28/02/2029,3.75,90,90,0,100.43,100.43,90.39,90,1,3.97,3.97
09/12/2023 00:00,ממשלתית צמודה,1172220,8.2,11,30/11/2031,0.1,103.5,100.5,-3,100.32,100.32,100.82,100.5,1,1.34,1.34
09/12/2023 00:00,ממשלתית בריבית משתנה,1166552,7.2,10,29/11/2030,4.78,84.7,44,-40.7,97.85,97.85,43.02,44,0.5,5.27,5.27
09/11/2023 00:00,ממשלתית,1174697,2.5,5,27/02/2026,0.5,350,350,0,91.61,91.6,320.64,1836,5.2,4.27,4.28
09/11/2023 00:00,ממשלתית,1184076,29.2,31,29/11/2052,2.8,250,250,0,76.56,76.56,191.4,1017,4.1,4.37,4.37
09/11/2023 00:00,ממשלתית,1194802,5.5,6,28/02/2029,3.75,300,300,0,100.43,100.42,301.29,1565,5.2,3.97,3.97
09/11/2023 00:00,ממשלתית צמודה,1172220,8.2,11,30/11/2031,0.1,350,350,0,100.32,100.27,351.12,1592,4.5,1.34,1.35
09/11/2023 00:00,ממשלתית בריבית משתנה,1166552,7.2,10,29/11/2030,4.78,350,350,0,97.85,97.82,342.48,1848,5.3,5.26,5.27
09/05/2023 00:00,ממשלתית,1180660,8.7,11,30/04/2032,1.3,62.5,22.5,-40,81.65,81.65,18.37,22.5,0.4,3.9,3.9
09/05/2023 00:00,ממשלתית צמודה,1168301,28.2,31,30/11/2051,0.5,66.5,11.2,-55.3,86.84,86.84,9.73,11.2,0.2,1.45,1.45
09/05/2023 00:00,ממשלתית צמודה,1172220,8.2,11,30/11/2031,0.1,75,75,0,100.72,100.72,75.54,75,1,1.29,1.29
09/05/2023 00:00,ממשלתית צמודה,1197326,5.2,5,31/10/2028,1.1,80.5,61.2,-19.3,99.66,99.66,61.03,61.2,0.8,1.26,1.26
09/04/2023 00:00,ממשלתית,1174697,2.5,5,27/02/2026,0.5,250,250,0,91.72,91.7,229.3,1296,5.2,4.19,4.2
09/04/2023 00:00,ממשלתית,1180660,8.7,11,30/04/2032,1.3,350,350,0,81.65,81.62,285.78,1935,5.5,3.9,3.9
09/04/2023 00:00,ממשלתית,1194802,5.5,6,28/02/2029,3.75,300,300,0,100.8,100.75,302.4,1272,4.2,3.88,3.89
09/04/2023 00:00,ממשלתית צמודה,1168301,28.2,31,30/11/2051,0.5,250,250,0,86.84,86.4,217.1,545,2.2,1.45,1.47
09/04/2023 00:00,ממשלתית צמודה,1172220,8.2,11,30/11/2031,0.1,350,350,0,100.72,100.65,352.52,1385,4,1.29,1.3
09/04/2023 00:00,ממשלתית צמודה,1197326,5.2,5,31/10/2028,1.1,300,300,0,99.66,99.61,298.98,934,3.1,1.26,1.27
8/14/2023 12:00:00 AM,ממשלתית,1174697,2.5,5,27/02/2026,0.5,300,300,0,91.51,91.5,274.53,1070,3.6,4.19,4.19
8/14/2023 12:00:00 AM,ממשלתית,1180660,8.7,11,30/04/2032,1.3,200,200,0,81.31,81.31,162.62,824,4.1,3.92,3.92
8/14/2023 12:00:00 AM,ממשלתית,1184076,29.3,31,29/11/2052,2.8,250,250,0,77.08,76.92,192.7,1060,4.2,4.31,4.32
8/14/2023 12:00:00 AM,ממשלתית,1194802,5.5,6,28/02/2029,3.75,300,300,0,100.45,100.39,301.35,1050,3.5,3.9,3.92
8/14/2023 12:00:00 AM,ממשלתית צמודה,1172220,8.3,11,30/11/2031,0.1,250,250,0,100.39,100.31,250.98,665,2.7,1.29,1.29
8/14/2023 12:00:00 AM,ממשלתית צמודה,1197326,5.2,5,31/10/2028,1.1,300,300,0,99.39,99.32,298.17,550,1.8,1.24,1.26
08/08/2023 00:00,ממשלתית,1174697,2.6,5,27/02/2026,0.5,47.4,37.9,-9.5,91.51,91.51,34.72,37.9,0.8,4.16,4.16
08/08/2023 00:00,ממשלתית בריבית משתנה,1166552,7.3,10,29/11/2030,4.7,57.2,30,-27.2,98.69,98.69,29.61,30,0.5,5.16,5.16
08/07/2023 00:00,ממשלתית,1174697,2.6,5,27/02/2026,0.5,300,300,0,91.51,91.5,274.53,1830,6.1,4.15,4.16
08/07/2023 00:00,ממשלתית,1180660,8.7,11,30/04/2032,1.3,250,250,0,81.72,81.63,204.3,545,2.2,3.85,3.87
08/07/2023 00:00,ממשלתית,1194802,5.6,6,28/02/2029,3.75,350,350,0,100.63,100.61,352.21,1010,2.9,3.85,3.86
08/07/2023 00:00,ממשלתית צמודה,1168301,28.3,31,30/11/2051,0.5,250,250,0,91.02,90.72,227.55,550,2.2,1.26,1.27
08/07/2023 00:00,ממשלתית צמודה,1197326,5.2,5,31/10/2028,1.1,300,300,0,99.95,99.88,299.85,580,1.9,1.13,1.14
08/07/2023 00:00,ממשלתית בריבית משתנה,1166552,7.3,10,29/11/2030,4.7,200,200,0,98.69,98.68,197.38,984,4.9,5.16,5.16
08/01/2023 00:00,ממשלתית,1174697,2.6,5,27/02/2026,0.5,70.8,42,-28.8,91.6,91.6,38.47,42,0.6,4.09,4.09
08/01/2023 00:00,ממשלתית,1184076,29.3,31,29/11/2052,2.8,55,55,0,78.17,78.17,42.99,55,1,4.22,4.22
08/01/2023 00:00,ממשלתית,1194802,5.6,6,28/02/2029,3.75,71.2,62.2,-9,100.61,100.61,62.55,62.2,0.9,3.84,3.84
08/01/2023 00:00,ממשלתית צמודה,1172220,8.3,11,30/11/2031,0.1,57,51,-6,101.53,101.53,51.78,51,0.9,1.14,1.14
08/01/2023 00:00,ממשלתית בריבית משתנה,1166552,7.3,10,29/11/2030,4.7,62.5,30,-32.5,98.69,98.69,29.61,30,0.5,5.14,5.14
7/31/2023 12:00:00 AM,ממשלתית,1174697,2.6,5,27/02/2026,0.5,300,300,0,91.6,91.58,274.8,860,2.9,4.08,4.09
7/31/2023 12:00:00 AM,ממשלתית,1184076,29.3,31,29/11/2052,2.8,250,250,0,78.17,78.16,195.43,1050,4.2,4.22,4.22
7/31/2023 12:00:00 AM,ממשלתית,1194802,5.6,6,28/02/2029,3.75,300,300,0,100.61,100.55,301.83,891,3,3.84,3.85
7/31/2023 12:00:00 AM,ממשלתית צמודה,1172220,8.3,11,30/11/2031,0.1,250,250,0,101.53,101.45,253.83,708,2.8,1.14,1.15
7/31/2023 12:00:00 AM,ממשלתית בריבית משתנה,1166552,7.3,10,29/11/2030,4.7,300,300,0,98.69,98.66,296.07,1772,5.9,5.14,5.14
7/24/2023 12:00:00 AM,ממשלתית,1174697,2.6,5,27/02/2026,0.5,300,300,0,91.91,91.89,275.73,1107,3.7,3.92,3.92
7/24/2023 12:00:00 AM,ממשלתית,1180660,8.8,11,30/04/2032,1.3,300,300,0,83.08,83.01,249.24,1004,3.3,3.63,3.64
7/24/2023 12:00:00 AM,ממשלתית,1194802,5.6,6,28/02/2029,3.75,300,300,0,101.45,101.4,304.35,1237,4.1,3.66,3.67
7/24/2023 12:00:00 AM,ממשלתית צמודה,1168301,28.3,31,30/11/2051,0.5,250,250,0,92.49,92.39,231.23,886,3.5,1.19,1.2
7/24/2023 12:00:00 AM,ממשלתית צמודה,1172220,8.3,11,30/11/2031,0.1,250,250,0,102.87,102.76,257.18,751,3,0.98,0.99
7/18/2023 12:00:00 AM,ממשלתית,1174697,2.6,5,27/02/2026,0.5,62,10.4,-51.5,91.74,91.74,9.58,10.4,0.2,3.96,3.96
7/18/2023 12:00:00 AM,ממשלתית,1180660,8.8,11,30/04/2032,1.3,85,79,-6,82.83,82.83,65.46,79,0.9,3.66,3.66
7/18/2023 12:00:00 AM,ממשלתית,1184076,29.4,31,29/11/2052,2.8,74,56.5,-17.5,80.45,80.45,45.45,56.5,0.8,4.05,4.05
7/18/2023 12:00:00 AM,ממשלתית צמודה,1197326,5.3,5,31/10/2028,0,67.5,55.5,-12,99.98,99.98,55.49,55.5,0.8,1.11,1.11
7/18/2023 12:00:00 AM,ממשלתית בריבית משתנה,1166552,7.4,10,29/11/2030,4.7,90,90,0,98.76,98.76,88.88,90,1,5.1,5.1
7/17/2023 12:00:00 AM,ממשלתית,1174697,2.6,5,27/02/2026,0.5,300,300,0,91.74,91.72,275.22,1324.8,4.4,3.96,3.97
7/17/2023 12:00:00 AM,ממשלתית,1180660,8.8,11,30/04/2032,1.3,300,300,0,82.83,82.8,248.49,1136.6,3.8,3.65,3.66
7/17/2023 12:00:00 AM,ממשלתית,1184076,29.4,31,29/11/2052,2.8,250,250,0,80.45,80.22,201.13,1036.5,4.1,4.05,4.07
7/17/2023 12:00:00 AM,ממשלתית צמודה,1197326,5.3,5,31/10/2028,0,250,250,0,99.98,99.78,249.95,984,3.9,1.11,1.15
7/17/2023 12:00:00 AM,ממשלתית בריבית משתנה,1166552,7.4,10,29/11/2030,4.7,300,300,0,98.76,98.76,296.28,1768,5.9,5.09,5.09
07/11/2023 00:00,ממשלתית,1180660,8.8,11,30/04/2032,1.3,64.3,51.3,-13,80.94,80.94,41.48,51.3,0.8,3.94,3.94
07/11/2023 00:00,ממשלתית,1184076,29.4,31,29/11/2052,2.8,73.4,73.4,0,77.44,77.44,56.8,73.4,1,4.26,4.26
07/11/2023 00:00,ממשלתית,1194802,5.6,6,28/02/2029,3.75,63.8,48.4,-15.4,99.65,99.65,48.25,48.4,0.8,3.99,3.99
07/11/2023 00:00,ממשלתית צמודה,1172220,8.4,11,30/11/2031,0.1,89,87,-2,101.38,101.38,88.2,87,1,1.15,1.15
