ISSUANCEDATE,BONDS,SERIES,ACTUALTERMTOMATURITY,ORIGINALTERMTOMATURITY,REDEMTIONDATE,COUPON,OFFEREDQUANTITY,PURCHASEDQUANTITY,ADDITIONALPURCHASED,AVERAGEPRICE,CUTOFFPRICE,TOTALFUNDING,DEMANDEDAMOUNT,COVERRATIO,GROSSAVGYIELD,GROSSCUTOFFYIELD
03/11/2024 00:00,ממשלתית,1202332,11.1,11,30/03/2035,4,500,500,0,98.2,98.16,491,2400,4.8,4.29,4.29
03/11/2024 00:00,ממשלתית,1203579,3.6,4,30/09/2027,3.75,500,500,0,99.88,99.84,499.4,2654,5.3,3.9,3.91
03/11/2024 00:00,ממשלתית צמודה,1168301,27.7,31,30/11/2051,0.5,450,450,0,79.3,79.03,356.85,1712,3.8,1.84,1.85
03/11/2024 00:00,ממשלתית צמודה,1204379,9.6,10,31/10/2033,0,500,500,0,100.69,100.6,503.45,2179,4.4,1.53,1.54
03/11/2024 00:00,ממשלתית בריבית משתנה,1166552,6.7,10,29/11/2030,3.94,500,500,0,95.67,95.66,478.35,3487,7,4.8,4.8
03/11/2024 00:00,ממשלתית קצרה,1202324,0.7,1,29/11/2024,0,1250,1250,0,97.14,97.11,1214.25,5560,4.4,4.11,4.15
03/04/2024 00:00,ממשלתית,1166180,13.2,17,31/05/2037,1.5,500,500,0,72.11,72.07,360.55,2153,4.3,4.45,4.45
03/04/2024 00:00,ממשלתית,1184076,28.7,31,29/11/2052,2.8,500,500,0,70.46,70.4,352.3,1795,3.6,4.75,4.76
03/04/2024 00:00,ממשלתית,1194802,5,6,28/02/2029,3.75,550,550,0,99.35,99.34,546.43,2477,4.5,3.9,3.91
03/04/2024 00:00,ממשלתית,1202332,11.1,11,30/03/2035,4,500,500,0,98.11,98.05,490.55,2318,4.6,4.29,4.29
03/04/2024 00:00,ממשלתית,1203579,3.6,4,30/09/2027,3.75,500,500,0,99.97,99.95,499.85,3178,6.4,3.85,3.85
03/04/2024 00:00,ממשלתית צמודה,1197326,4.7,5,31/10/2028,1.1,500,500,0,100.52,100.48,502.6,1814,3.6,1.24,1.25
03/04/2024 00:00,ממשלתית צמודה,1204379,9.7,10,31/10/2033,0,500,500,0,100.62,100.43,503.1,1891,3.8,1.53,1.55
2/28/2024 12:00:00 AM,ממשלתית צמודה,1168301,27.8,31,30/11/2051,0.5,149.6,133.8,-15.9,78.31,78.31,104.74,133.8,0.9,1.89,1.89
2/28/2024 12:00:00 AM,ממשלתית צמודה,1172220,7.8,11,30/11/2031,0.1,143.3,138.6,-4.7,99.63,99.63,138.09,138.6,1,1.56,1.56
2/28/2024 12:00:00 AM,ממשלתית קצרה,1202324,0.8,1,29/11/2024,0,426.2,400.3,-25.8,97.03,97.03,388.46,400.3,0.9,4.09,4.09
2/26/2024 12:00:00 AM,ממשלתית,1166180,13.3,17,31/05/2037,1.5,450,450,0,71.66,71.6,322.47,1971.4,4.4,4.49,4.5
2/26/2024 12:00:00 AM,ממשלתית,1194802,5,6,28/02/2029,3.75,450,450,0,99.44,99.42,447.48,3309,7.4,4.61,4.61
2/26/2024 12:00:00 AM,ממשלתית,1202332,11.1,11,30/03/2035,4,500,500,0,97.67,97.6,488.35,1886,3.8,4.33,4.34
2/26/2024 12:00:00 AM,ממשלתית,1203579,3.6,4,30/09/2027,0,500,500,0,99.96,99.95,499.8,3979,8,3.83,3.83
2/26/2024 12:00:00 AM,ממשלתית צמודה,1168301,27.8,31,30/11/2051,0.5,450,450,0,78.31,78.16,352.4,1615,3.6,1.89,1.89
2/26/2024 12:00:00 AM,ממשלתית צמודה,1172220,7.8,11,30/11/2031,0.1,500,500,0,99.63,99.62,498.15,2222,4.4,1.56,1.56
2/26/2024 12:00:00 AM,ממשלתית קצרה,1202324,0.8,1,29/11/2024,0,1250,1250,0,97.03,97.03,1212.88,6750,5.4,4.05,4.05
2/20/2024 12:00:00 AM,ממשלתית,1166180,13.3,17,31/05/2037,1.5,149.7,98.9,-50.8,71.24,71.24,70.46,98.9,0.7,4.54,4.54
2/20/2024 12:00:00 AM,ממשלתית,1184076,28.8,31,29/11/2052,2.8,130.4,92.3,-38.1,69.42,69.42,64.08,92.3,0.7,4.83,4.83
2/20/2024 12:00:00 AM,ממשלתית,1194802,5,6,28/02/2029,3.75,148.4,130.8,-17.7,99.06,99.06,129.53,130.8,0.9,4.68,4.68
2/20/2024 12:00:00 AM,ממשלתית,1202332,11.1,11,30/03/2035,4,175.7,52.5,-123.2,97.33,97.33,51.1,52.5,0.3,4.36,4.36
2/20/2024 12:00:00 AM,ממשלתית צמודה,1172220,7.8,11,30/11/2031,0.1,159.3,112.1,-47.2,99.64,99.64,111.74,112.1,0.7,1.56,1.56
2/20/2024 12:00:00 AM,ממשלתית צמודה,1197326,4.7,5,31/10/2028,1.1,161.8,105,-56.8,100.31,100.31,105.33,105,0.6,1.27,1.27
2/19/2024 12:00:00 AM,ממשלתית,1166180,13.3,17,31/05/2037,1.5,500,500,0,71.24,71.15,356.2,1853,3.7,4.54,4.55
2/19/2024 12:00:00 AM,ממשלתית,1184076,28.8,31,29/11/2052,2.8,500,500,0,69.42,69.3,347.1,1616,3.2,4.83,4.84
2/19/2024 12:00:00 AM,ממשלתית,1194802,5,6,28/02/2029,3.75,550,550,0,102.32,102.31,562.76,3716,6.8,3.93,3.94
2/19/2024 12:00:00 AM,ממשלתית,1202332,11.1,11,30/03/2035,4,550,550,0,97.33,97.25,535.32,2395,4.4,4.36,4.37
2/19/2024 12:00:00 AM,ממשלתית צמודה,1172220,7.8,11,30/11/2031,0.1,500,500,0,99.64,99.55,498.2,1465,2.9,1.56,1.57
2/19/2024 12:00:00 AM,ממשלתית צמודה,1197326,4.7,5,31/10/2028,1.1,500,500,0,100.31,100.23,501.55,1686,3.4,1.27,1.29
2/19/2024 12:00:00 AM,ממשלתית בריבית משתנה,1166552,6.8,10,29/11/2030,4.1,550,550,0,96.54,96.46,530.97,3367,6.1,4.95,4.96
2/13/2024 12:00:00 AM,ממשלתית,1194802,5,6,28/02/2029,3.75,142.7,142.3,-0.4,102.02,102.02,145.14,142.3,1,3.99,3.99
2/13/2024 12:00:00 AM,ממשלתית,1202332,11.1,11,30/03/2035,4,157.5,157.5,0,96.62,96.62,152.18,157.5,1,4.44,4.44
2/13/2024 12:00:00 AM,ממשלתית,1203579,3.6,4,30/09/2027,0,135.5,118,-17.5,99.58,99.58,117.5,118,0.9,3.9,3.9
2/13/2024 12:00:00 AM,ממשלתית צמודה,1168301,27.8,31,30/11/2051,0.5,150,150,0,76.95,76.95,115.43,150,1,1.95,1.95
2/13/2024 12:00:00 AM,ממשלתית צמודה,1172220,7.8,11,30/11/2031,0.1,171.5,171.5,0,99.09,99.09,169.93,171.5,1,1.62,1.62
2/13/2024 12:00:00 AM,ממשלתית בריבית משתנה,1166552,6.8,10,29/11/2030,4.1,169,6,-163,96.4,96.4,5.78,6,0,4.96,4.96
2/13/2024 12:00:00 AM,ממשלתית קצרה,1202324,0.8,1,29/11/2024,0,381.2,379.5,-1.7,96.82,96.82,367.39,379.5,1,4.15,4.15
